"","pearson","Pvalue"
"Colchicine",-0.385800372903862,0.00233194306991746
"Actinomycin D",-0.354611452091926,0.00543601332028447
"Masoprocol",-0.379960723935027,0.00274959381020098
"Noscapine",-0.542189901327331,7.65804057439675e-06
"Acrichine",-0.322414526762196,0.0119926266184884
"Pipobroman",-0.304848477291981,0.0178677144536589
"Cyclophosphamide",-0.368617499715526,0.0037550210527682
"Chelerythrine",-0.34190565299003,0.00750017093841917
"IDOXURIDINE",-0.359844034622798,0.00474323624672313
"DACARBAZINE",-0.324456756040983,0.0114325517044323
"Vinblastine",-0.399051683521348,0.00158671123510252
"Vincristine",-0.378522554331483,0.0028621512769645
"Lomustine",-0.425223116132395,0.000707220035229422
"Estramustine",-0.370877635817218,0.00353202150833006
"Arsenic trioxide",-0.449857124823794,0.000310813986260618
"Ifosfamide",-0.412015331173355,0.00107196992911734
"Benzimate",-0.345291035679131,0.00689236133804775
"Paclitaxel",-0.330285859944297,0.00995652516530415
"melbex",-0.368959654659572,0.00372048121823487
"Etoposide",-0.343217158565166,0.0072593654167092
"Homoharringtonine",-0.367851775313481,0.00383334936870834
"Tegafur",-0.344809466266566,0.00697610356076796
"Tamoxifen",-0.583389800333836,9.9893018166714e-07
"Mebendazole",-0.408727721241758,0.00118581880341715
"geldanamycin analog",-0.409478693978321,0.00115889494278931
"Epirubicin",-0.340524212524077,0.00776133131897
"Clotrimazole",-0.305267662417677,0.017703132269906
"Oxaliplatin",-0.401139327458534,0.00149116771550934
"TRICIRIBINE PHOSPHATE",0.31477032234643,0.0143043796037996
"ciclosporin",-0.498495459431085,5.04619159555505e-05
"auranofin",-0.604922324278451,3.06791839052073e-07
"HYPOTHEMYCIN",-0.468791304366265,0.000158172921487897
"FENRETINIDE",-0.309245450671316,0.0162047007886736
"DOLASTATIN 10",-0.467414919519358,0.000166355856648508
"Carmustine",-0.451966651936492,0.00028883711373317
"timazid",-0.321320467683997,0.012302296969394
"Staurosporine",0.547921709570869,5.86177286436666e-06
"Lapachone",-0.428311972915875,0.000640098467434585
"Lovastatin",0.342952627160385,0.00730738472621474
"Simvastatin",0.33989108657963,0.00788365130105385
"O-6-Benzylguanine",0.304870780320996,0.0178589249851346
"Midostaurin",0.302630307322255,0.0187605157670314
"XK-469",-0.392095876280111,0.00194591786334925
"Artemether",-0.351792961496812,0.00584483575703765
"Okadaic acid",-0.314065241876965,0.0145357068581945
"Bortezomib",-0.305420053736072,0.0176436212741657
"Irofulven",0.418326622045911,0.000880606407879662
"BN-2629",-0.342517634588515,0.00738695062673698
"Denileukin Diftitox Ontak",-0.363942135978031,0.00425623991107102
